lag_fs,running_eta_mean,running_eta_sem
6.250000000000000000e+01,2.085229499999999569e-01,1.359205050501946207e-03
6.300000000000000000e+01,2.086627600000000027e-01,1.392669403210970280e-03
6.350000000000000000e+01,2.098464460000000198e-01,1.424754284375379229e-03
6.400000000000000000e+01,2.119640759999999735e-01,1.450790906442416114e-03
6.450000000000000000e+01,2.147917099999999968e-01,1.465304870349511818e-03
6.500000000000000000e+01,2.180204099999999978e-01,1.463758768236759263e-03
6.550000000000000000e+01,2.212944879999999837e-01,1.444234022194463033e-03
6.600000000000000000e+01,2.242540339999999632e-01,1.408599049369977686e-03
6.650000000000000000e+01,2.265765359999999951e-01,1.362836895485297108e-03
6.700000000000000000e+01,2.280126539999999813e-01,1.316319688478446168e-03
6.750000000000000000e+01,2.284122199999999714e-01,1.279773706797413674e-03
6.800000000000000000e+01,2.277378000000000180e-01,1.262145023893848595e-03
6.850000000000000000e+01,2.260648559999999807e-01,1.267514325120627219e-03
6.900000000000000000e+01,2.235690140000000103e-01,1.294052669436603336e-03
6.950000000000000000e+01,2.205025200000000074e-01,1.335742470238928097e-03
7.000000000000000000e+01,2.171630320000000336e-01,1.385569862686107569e-03
7.050000000000000000e+01,2.138587020000000116e-01,1.438045244213125191e-03
7.100000000000000000e+01,2.108737439999999741e-01,1.490039508907735691e-03
7.150000000000000000e+01,2.084384360000000047e-01,1.540193997172434283e-03
